Blade Outlet Mach,Nozzle Outlet Angle
-0.007763653,-51.52927614
0.045137761,-51.53518691
0.094675065,-51.52954862
0.152091303,-51.52479066
0.206118278,-51.53082719
0.26804934,-51.5154005
0.314197382,-51.5205567
0.370475482,-51.52684476
0.431280982,-51.5112923
0.498814701,-51.51883797
0.552854253,-51.51370272
0.594462319,-51.55187122
0.655129482,-51.65920833
0.714658506,-51.77759147
0.769685283,-51.89547155
0.8022637,-51.95497752
0.851700395,-52.03871346
0.89440887,-52.09935128
0.934891374,-52.13739402
0.999060984,-52.13339062
