1-cos(alpha_out)/cos(alpha_in),Contraction Ratio,t/b
-0.152638885,1.029147944,1.25
-0.115226895,1.026114085,1.25
-0.069890738,1.027945848,1.25
-0.027954793,1.02964023,1.25
0.034343785,1.050339163,1.25
0.097766107,1.075628953,1.25
0.181522081,1.133558488,1.25
0.298059833,1.233721629,1.25
0.435968044,1.412020951,1.25
0.59855999,1.709499413,1.25
0.641426486,1.806685938,1.25
0.723739947,2.010011735,1.25
0.800367068,2.222198689,1.25
-0.152696843,1.056418329,0.8
-0.099417199,1.054025587,0.8
-0.030298878,1.065909156,0.8
0.021818383,1.077105813,0.8
0.099955637,1.112081056,0.8
0.208607859,1.189198317,0.8
0.291124174,1.297077764,0.8
0.381487378,1.446183348,0.8
0.519115458,1.756289533,0.8
0.558523784,1.880609062,0.8
0.621550059,2.092246487,0.8
0.651900813,2.211654598,0.8
0.70132624,2.422742494,0.8
0.752989496,2.647557171,0.8
0.800119136,2.872188672,0.8
-0.147078122,1.079372621,0.4
-0.096074945,1.081433355,0.4
0.010426386,1.103918258,0.4
0.14289941,1.172907067,0.4
0.209635007,1.239239818,0.4
0.281960345,1.342162054,0.4
0.374532399,1.518629612,0.4
0.446664544,1.712453133,0.4
0.527690046,1.988454163,0.4
0.582753513,2.213406222,0.4
0.639967873,2.492990641,0.4
0.661241736,2.616577464,0.4
0.710531927,2.891296259,0.4
0.730672386,3.014837288,0.4
