Incidence Ratio (i-imin)/(istall-imin),Profile Loss Ratio
-14.80701168,3.369658324
-14.42063738,3.247488726
-13.97079526,3.100928157
-13.35870456,2.908932023
-12.74502318,2.723843382
-12.23012256,2.559799337
-11.41808435,2.336075255
-10.50169804,2.115482809
-9.681706473,1.926296199
-8.557419293,1.708513278
-7.493418593,1.528936317
-6.891985398,1.44065997
-5.580794223,1.284507647
-3.378508427,1.097933717
-1.56498294,1.023168142
0.087884644,1.000745628
3.492082429,1.083474505
6.026659668,1.289876166
8.019294855,1.542894467
9.176349884,1.767405932
10.28425314,2.078475818
10.82635426,2.332549927
11.25297257,2.535139939
11.53992985,2.731251939
11.85583737,2.903080337
12.10986774,3.106207201
12.43213794,3.305665577
12.71670922,3.491416335
