Blade Inlet Angle,i+istall,asin(o/s)
69.76231941,1.681736489,10
73.40192541,3.437173468,10
77.95352272,5.825403681,10
83.41293172,8.458559148,10
87.05114452,10.0847068,10
91.33859036,11.95968068,10
96.01529738,13.95809243,10
99.52143444,15.32761191,10
103.6768045,16.94595762,10
108.4814077,18.81312955,10
114.1910361,20.66664809,10
119.1179626,21.88542291,10
122.6157404,22.47920643,10
127.0185435,23.05933656,10
131.8022486,22.98716859,10
136.0674032,22.79351324,10
140.4576675,22.21003943,10
144.8395726,20.85082965,10
148.0564805,19.37988492,10
151.7821865,17.12540229,10
155.1214177,15.00606044,10
157.6876994,13.15700015,10
161.1478607,10.25997186,10
164.0908648,7.370745503,10
166.3888154,4.620560904,10
168.0486785,2.655864692,10
169.9629408,0.299399529,10
160.150884,1.740529696,20
158.238015,4.226284186,20
155.3033702,7.8912465,20
151.4678797,11.95773019,20
147.8826086,15.24457695,20
144.5489502,17.88107611,20
139.9279714,21.05423743,20
134.7870488,23.97662204,20
130.6665088,25.59050949,20
125.8953425,26.8262814,20
117.2399237,27.60341056,20
111.0298564,27.30916589,20
105.3299804,26.36067264,20
99.62453154,24.89502208,20
95.59984396,23.40401521,20
91.83094863,21.65052872,20
87.66861251,19.38573638,20
83.76346183,16.98775374,20
80.5075442,14.83859732,20
75.94758767,11.67463115,20
71.64760299,8.636053332,20
69.82362038,7.370466863,20
149.7007398,3.967148251,30
147.2721067,6.589994009,30
144.0733104,9.741699987,30
140.3601432,13.15978656,30
136.6469761,16.57787313,30
132.9338089,19.99595971,30
128.5686223,22.9066414,30
122.0138763,26.62621731,30
116.2195411,28.91190771,30
110.5461359,30.41991167,30
107.4445853,30.59601265,30
104.2123521,30.64477479,30
101.7516753,30.29396603,30
96.56477702,28.94980286,30
92.53869624,27.32950667,30
88.11499505,24.81003664,30
85.11904928,22.78626858,30
81.46969085,20.12580632,30
78.73093052,17.96884796,30
75.46944007,15.30253424,30
73.25062346,13.39635259,30
69.72776795,10.47536119,30
139.8942558,5.925435725,40
136.303412,8.695125179,40
132.9697535,11.33162434,40
129.889101,13.44706522,40
126.170361,16.34799448,40
121.9302841,18.86885771,40
115.8857294,21.93418505,40
110.9922399,23.81835407,40
105.9652814,25.3166056,40
100.8034607,26.29965031,40
96.02254204,26.63039692,40
89.55110969,26.08147457,40
87.21554258,25.34084735,40
82.01471223,22.70379091,40
76.93620519,19.41833735,40
73.41195648,16.36805662,40
69.75841843,13.31972637,40
131.3820583,7.99350767,50
128.0330747,9.207824233,50
123.9125347,10.82171169,50
118.7590732,12.58049236,50
115.0222216,13.80066038,50
110.3789515,14.90519247,50
104.314892,16.16046923,50
96.30870613,17.18642462,50
89.97770874,17.66986639,50
85.32189977,17.61079454,50
78.84768101,16.80329353,50
74.31280215,15.96653524,50
69.64863396,15.13172743,50
120.8068044,10.60994469,60
115.2529362,11.21097287,60
109.7018544,12.07057971,60
104.4065648,12.66770693,60
98.2020703,12.89061956,60
90.70746897,13.3916157,60
84.24160943,13.35985065,60
75.70851387,13.48858269,60
69.88770776,13.31777589,60
