ZetaP0,"alpha1,beta2","alpha2,beta3"
134.2056075,0.000634146,45
130.4672897,0.00297561,45
125.6074766,0.005463415,45
118.1308411,0.007365854,45
104.6728972,0.009853659,45
95.3271028,0.011170732,45
87.10280374,0.012634146,45
80,0.014097561,45
70.28037383,0.016439024,45
63.92523364,0.018195122,45
58.31775701,0.019804878,45
53.45794393,0.021414634,45
46.72897196,0.023902439,45
43.73831776,0.026243902,45
40,0.029756098,45
37.38317757,0.03297561,45
35.14018692,0.035902439,45
29.90654206,0.042341463,45
27.6635514,0.04702439,45
25.79439252,0.050829268,45
24.29906542,0.05404878,45
22.80373832,0.057414634,45
20.56074766,0.064731707,45
35.14018692,0.035902439,30
29.90654206,0.042341463,30
27.6635514,0.04702439,30
25.79439252,0.050829268,30
24.29906542,0.05404878,30
22.80373832,0.057414634,30
20.56074766,0.064731707,30
38.87850467,0.033560976,30
42.24299065,0.030926829,30
45.98130841,0.028731707,30
49.71962617,0.02697561,30
53.8317757,0.025512195,30
57.57009346,0.024341463,30
64.29906542,0.022585366,30
71.02803738,0.021414634,30
76.63551402,0.020243902,30
83.36448598,0.019073171,30
89.71962617,0.01804878,30
107.6635514,0.015268293,30
123.7383178,0.012634146,30
131.2149533,0.010878049,30
137.9439252,0.008536585,30
143.1775701,0.00604878,30
146.5420561,0.003853659,30
149.1588785,0.000487805,30
35.14018692,0.035902439,35
29.90654206,0.042341463,35
27.6635514,0.04702439,35
25.79439252,0.050829268,35
24.29906542,0.05404878,35
22.80373832,0.057414634,35
20.56074766,0.064731707,35
44.85981308,0.027560976,35
50.8411215,0.024926829,35
56.82242991,0.022731707,35
64.29906542,0.020390244,35
71.40186916,0.018780488,35
78.87850467,0.017317073,35
88.97196262,0.015560976,35
100.9345794,0.013512195,35
116.2616822,0.01102439,35
122.6168224,0.009707317,35
128.9719626,0.008097561,35
134.2056075,0.006487805,35
138.6915888,0.004439024,35
142.0560748,0.002097561,35
143.5514019,0.000341463,35
27.6635514,0.04702439,25
25.79439252,0.050829268,25
24.29906542,0.05404878,25
22.80373832,0.057414634,25
20.56074766,0.064731707,25
154.0186916,0.000487805,25
152.5233645,0.003121951,25
149.1588785,0.006780488,25
142.8037383,0.010439024,25
137.1962617,0.012780488,25
129.7196262,0.014829268,25
123.364486,0.016292683,25
108.7850467,0.018634146,25
99.43925234,0.020097561,25
88.59813084,0.021560976,25
73.27102804,0.024195122,25
65.04672897,0.02595122,25
57.57009346,0.027707317,25
50.8411215,0.029756098,25
47.47663551,0.031073171,25
42.99065421,0.033121951,25
40,0.03502439,25
37.38317757,0.037073171,25
33.27102804,0.040439024,25
29.90654206,0.043804878,25
20.56074766,0.064731707,20
22.80373832,0.059609756,20
25.79439252,0.054487805,20
29.53271028,0.048487805,20
33.27102804,0.04395122,20
37.00934579,0.040731707,20
42.61682243,0.037073171,20
48.59813084,0.034585366,20
56.07476636,0.032390244,20
61.68224299,0.030926829,20
69.90654206,0.029170732,20
76.63551402,0.028146341,20
82.61682243,0.027121951,20
89.71962617,0.026097561,20
96.07476636,0.025219512,20
105.046729,0.023902439,20
113.6448598,0.022439024,20
128.5981308,0.020243902,20
136.8224299,0.018341463,20
145.046729,0.015560976,20
149.9065421,0.013219512,20
153.271028,0.01102439,20
155.5140187,0.008243902,20
157.3831776,0.005609756,20
158.5046729,0.002682927,20
159.2523364,0.000487805,20
22.80373832,0.065170732,15
24.29906542,0.061512195,15
26.1682243,0.058731707,15
27.6635514,0.056097561,15
30.65420561,0.052731707,15
33.27102804,0.04995122,15
36.63551402,0.047170732,15
40.74766355,0.044682927,15
45.98130841,0.042341463,15
50.8411215,0.040731707,15
55.70093458,0.03897561,15
62.05607477,0.037658537,15
68.03738318,0.036341463,15
76.26168224,0.03502439,15
84.11214953,0.034,15
90.46728972,0.033268293,15
97.19626168,0.032243902,15
111.0280374,0.030341463,15
127.4766355,0.027853659,15
133.0841121,0.026682927,15
141.3084112,0.024780488,15
146.9158879,0.022878049,15
151.4018692,0.020829268,15
154.7663551,0.018926829,15
157.0093458,0.016585366,15
159.6261682,0.013219512,15
161.4953271,0.010292683,15
162.6168224,0.006634146,15
163.7383178,0.003268293,15
164.4859813,0.000487805,15
121.1214953,0.040878049,10
114.0186916,0.041756098,10
104.2990654,0.042634146,10
95.3271028,0.043658537,10
83.73831776,0.044829268,10
73.27102804,0.045853659,10
62.80373832,0.047463415,10
56.44859813,0.048926829,10
50.8411215,0.050536585,10
45.23364486,0.052,10
38.87850467,0.054926829,10
