Xm,M
0.001970443,1.007179487
0.202955665,1.007179487
0.344827586,1.007179487
0.455172414,1.007179487
0.565517241,1.007179487
0.671921182,1.007179487
0.766502463,0.998974359
0.861083744,0.94974359
0.928078818,0.908717949
0.999014778,0.875897436
1.069950739,0.916923077
1.117241379,1.031794872
1.148768473,1.171282051
1.184236453,1.302564103
1.21182266,1.466666667
1.243349754,1.614358974
1.266995074,1.753846154
1.290640394,1.901538462
1.326108374,2.098461538
1.345812808,2.237948718
1.377339901,2.402051282
1.408866995,2.598974359
1.444334975,2.820512821
1.467980296,2.951794872
1.487684729,3.083076923
1.531034483,3.353846154
1.574384236,3.6
1.59408867,3.739487179
