"c1/c2,w1/w2",F,"Delta C, Delta W"
0.200851064,0.024210526,30
0.260425532,0.029684211,30
0.333617021,0.036842105,30
0.393191489,0.042315789,30
0.432340426,0.046105263,30
0.476595745,0.050315789,30
0.542978723,0.056631579,30
0.58212766,0.060421053,30
0.614468085,0.063789474,30
0.665531915,0.068842105,30
0.714893617,0.074315789,30
0.747234043,0.077684211,30
0.791489362,0.082736842,30
0.827234043,0.086947368,30
0.852765957,0.089894737,30
0.883404255,0.093684211,30
0.910638298,0.097473684,30
0.939574468,0.101263158,30
0.977021277,0.106315789,30
1.002553191,0.110105263,30
0.202553191,0.027157895,50
0.234893617,0.030526316,50
0.277446809,0.034736842,50
0.323404255,0.039789474,50
0.359148936,0.043578947,50
0.386382979,0.046526316,50
0.420425532,0.049894737,50
0.48,0.056210526,50
0.551489362,0.063789474,50
0.599148936,0.069263158,50
0.645106383,0.074315789,50
0.677446809,0.078105263,50
0.702978723,0.081473684,50
0.769361702,0.089473684,50
0.8,0.093263158,50
0.835744681,0.097894737,50
0.893617021,0.105894737,50
0.944680851,0.113894737,50
1.004255319,0.123578947,50
0.202553191,0.030526316,70
0.229787234,0.033473684,70
0.255319149,0.036421053,70
0.287659574,0.040210526,70
0.318297872,0.043578947,70
0.340425532,0.046105263,70
0.372765957,0.049894737,70
0.401702128,0.053263158,70
0.430638298,0.056210526,70
0.461276596,0.06,70
0.493617021,0.063789474,70
0.519148936,0.066736842,70
0.541276596,0.069684211,70
0.566808511,0.072631579,70
0.590638298,0.075578947,70
0.614468085,0.078105263,70
0.634893617,0.081052632,70
0.66893617,0.085263158,70
0.69106383,0.088631579,70
0.713191489,0.091578947,70
0.737021277,0.094526316,70
0.77787234,0.100421053,70
0.818723404,0.105894737,70
0.85106383,0.110947368,70
0.881702128,0.115578947,70
0.910638298,0.120631579,70
0.949787234,0.126947368,70
0.983829787,0.132842105,70
1.004255319,0.136631579,70
0.202553191,0.033473684,90
0.233191489,0.037263158,90
0.270638298,0.041894737,90
0.306382979,0.046105263,90
0.345531915,0.051157895,90
0.376170213,0.054947368,90
0.411914894,0.059157895,90
0.440851064,0.062947368,90
0.471489362,0.067157895,90
0.500425532,0.070947368,90
0.53787234,0.075578947,90
0.565106383,0.079368421,90
0.599148936,0.084,90
0.624680851,0.087789474,90
0.650212766,0.091157895,90
0.675744681,0.094947368,90
0.699574468,0.098315789,90
0.738723404,0.104210526,90
0.762553191,0.108,90
0.788085106,0.112210526,90
0.818723404,0.117684211,90
0.842553191,0.121473684,90
0.876595745,0.127789474,90
0.90893617,0.133684211,90
0.93787234,0.14,90
0.975319149,0.147578947,90
1.002553191,0.153473684,90
1.002553191,0.171157895,110
0.98212766,0.165684211,110
0.96,0.160210526,110
0.924255319,0.151789474,110
0.897021277,0.145473684,110
0.869787234,0.139578947,110
0.844255319,0.134947368,110
0.813617021,0.128631579,110
0.788085106,0.124,110
0.764255319,0.119368421,110
0.733617021,0.114315789,110
0.706382979,0.109684211,110
0.665531915,0.102105263,110
0.622978723,0.095368421,110
0.592340426,0.090736842,110
0.56,0.085684211,110
0.529361702,0.081473684,110
0.507234043,0.078105263,110
0.478297872,0.073894737,110
0.45787234,0.070947368,110
0.432340426,0.067578947,110
0.405106383,0.064210526,110
0.37106383,0.059157895,110
0.338723404,0.054947368,110
0.314893617,0.051578947,110
0.289361702,0.048210526,110
0.263829787,0.044842105,110
0.24,0.041473684,110
0.216170213,0.038526316,110
0.204255319,0.036842105,110
1.005957447,0.196,130
0.98893617,0.189684211,130
0.973617021,0.184631579,130
0.958297872,0.179578947,130
0.942978723,0.174526316,130
0.924255319,0.169052632,130
0.907234043,0.164842105,130
0.891914894,0.161052632,130
0.876595745,0.157263158,130
0.861276596,0.153052632,130
0.840851064,0.148421053,130
0.818723404,0.143368421,130
0.8,0.139157895,130
0.779574468,0.134947368,130
0.765957447,0.131578947,130
0.74893617,0.128210526,130
0.731914894,0.124842105,130
0.711489362,0.120631579,130
0.692765957,0.116842105,130
0.675744681,0.113894737,130
0.657021277,0.110526316,130
0.643404255,0.107578947,130
0.629787234,0.105473684,130
0.61787234,0.103368421,130
0.602553191,0.100421053,130
0.583829787,0.097052632,130
0.544680851,0.090736842,130
0.510638298,0.085263158,130
0.488510638,0.081894737,130
0.468085106,0.078947368,130
0.432340426,0.073473684,130
0.398297872,0.068421053,130
0.360851064,0.062947368,130
0.308085106,0.054947368,130
0.274042553,0.049894737,130
0.229787234,0.043578947,130
0.204255319,0.039789474,130
